galaxy,split,formula_family,inclusion_lane,allowed_use,projection_status,projection_reason,repair_status,repair_reason,has_s4g_scale_source,has_hi_source,has_velocity_field_source,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,endpoint_scores_computed,uses_vobs_or_residual,claim_boundary
ESO116-G012,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,74.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,57.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC02259,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,41.0,0.295238095238,False,False,projection_scale_repair_audit_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.65,few_rotation_points;large_distance_error,55.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,54.0,0.24882629108,False,False,projection_scale_repair_audit_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,90.0,0.300115874855,False,False,projection_scale_repair_audit_not_endpoint
UGC07603,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,78.0,0.3,False,False,projection_scale_repair_audit_not_endpoint
UGC08699,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error,NEEDS_DISTANCE_SCALE_SOURCE,distance/scale quality is blocking and no S4G scale source is ready,False,True,False,0.85,large_distance_error,73.0,0.249872773537,False,False,projection_scale_repair_audit_not_endpoint
F563-1,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,False,True,False,0.65,low_inclination;large_distance_error,25.0,0.200408997955,False,False,projection_scale_repair_audit_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,large_distance_error;low_inclination,NEEDS_INCLINATION_PROJECTION_REVIEW,requires residual-blind inclination/projection audit,True,True,False,0.65,low_inclination;large_distance_error,34.0,0.299768518519,False,False,projection_scale_repair_audit_not_endpoint
NGC2683,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.9,vertical_geometry_proxy_only,80.0,0.0499490316,False,False,projection_scale_repair_audit_not_endpoint
NGC3972,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,True,False,0.9,vertical_geometry_proxy_only,77.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC5907,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",True,False,False,0.9,vertical_geometry_proxy_only,88.0,0.052023121387,False,False,projection_scale_repair_audit_not_endpoint
NGC7331,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,vertical_geometry_proxy_only,NEEDS_VERTICAL_GEOMETRY_SOURCE,"requires vertical thickness, flare, warp, or velocity-field source evidence",False,True,False,0.9,vertical_geometry_proxy_only,75.0,0.102040816327,False,False,projection_scale_repair_audit_not_endpoint
CamB,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,1.0,none,65.0,0.077380952381,False,False,projection_scale_repair_audit_not_endpoint
IC2574,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,75.0,0.051150895141,False,False,projection_scale_repair_audit_not_endpoint
IC4202,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,1.0,none,90.0,0.099601593625,False,False,projection_scale_repair_audit_not_endpoint
NGC4013,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,89.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC4183,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,82.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
NGC6789,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,0.8,few_rotation_points,43.0,0.051136363636,False,False,projection_scale_repair_audit_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,40.0,0.049275362319,False,False,projection_scale_repair_audit_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,75.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,True,True,False,1.0,none,49.0,0.138888888889,False,False,projection_scale_repair_audit_not_endpoint
UGC07151,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,1.0,none,90.0,0.049490538574,False,False,projection_scale_repair_audit_not_endpoint
UGC12506,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,"manifest confidence, inclination, and distance/projection caveats pass",NO_PROJECTION_SCALE_REPAIR_REQUIRED,projection/scale gate is already clean,False,True,False,1.0,none,86.0,0.100397614314,False,False,projection_scale_repair_audit_not_endpoint
