galaxy,source_family,n_plan_tasks,n_required_plan_tasks,availability_status,availability_evidence,accepted_label_output_allowed,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC0100,S4G,12,7,PARTIAL_SOURCE_READY,S4G crossmatch and Pipeline 4 disk-scale candidate already acquired; label/audit still pending,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0100,NED_NEDD,8,6,LOOKUP_READY,NED lookup URL is present for identity/provenance review,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0100,DustPedia,11,7,SOURCE_TO_BE_QUERIED,DustPedia multiband fallback/validation must be checked residual-blind,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0100,HI_SURVEYS,8,6,REQUIRED_SOURCE_TO_BE_QUERIED,THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and gas morphology evidence must be checked,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0100,PHANGS,7,3,SUPPORTING_OPTIONAL_BRANCH_TO_BE_QUERIED,PHANGS is a supporting optional source path for non-axisymmetric evidence,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0247,S4G,12,7,PARTIAL_SOURCE_READY,S4G crossmatch and Pipeline 4 disk-scale candidate already acquired; label/audit still pending,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0247,NED_NEDD,8,5,LOOKUP_READY,NED lookup URL is present for identity/provenance review,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0247,DustPedia,11,6,SOURCE_TO_BE_QUERIED,DustPedia multiband fallback/validation must be checked residual-blind,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0247,HI_SURVEYS,8,5,REQUIRED_SOURCE_TO_BE_QUERIED,THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and gas morphology evidence must be checked,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0247,PHANGS,7,5,REQUIRED_OPTIONAL_BRANCH_TO_BE_QUERIED,PHANGS/velocity-field support is required for the P0 non-axisymmetric check if available,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0300,S4G,12,5,PARTIAL_SOURCE_READY,S4G crossmatch and Pipeline 4 disk-scale candidate already acquired; label/audit still pending,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0300,NED_NEDD,8,5,LOOKUP_READY,NED lookup URL is present for identity/provenance review,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0300,DustPedia,11,5,SOURCE_TO_BE_QUERIED,DustPedia multiband fallback/validation must be checked residual-blind,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0300,HI_SURVEYS,8,5,REQUIRED_SOURCE_TO_BE_QUERIED,THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and gas morphology evidence must be checked,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC0300,PHANGS,7,3,SUPPORTING_OPTIONAL_BRANCH_TO_BE_QUERIED,PHANGS is a supporting optional source path for non-axisymmetric evidence,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC6503,S4G,12,5,PARTIAL_SOURCE_READY,S4G crossmatch and Pipeline 4 disk-scale candidate already acquired; label/audit still pending,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC6503,NED_NEDD,8,5,LOOKUP_READY,NED lookup URL is present for identity/provenance review,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC6503,DustPedia,11,5,SOURCE_TO_BE_QUERIED,DustPedia multiband fallback/validation must be checked residual-blind,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC6503,HI_SURVEYS,8,5,REQUIRED_SOURCE_TO_BE_QUERIED,THINGS/LITTLE_THINGS/WALLABY/HALOGAS availability and gas morphology evidence must be checked,False,False,False,p0_requested_source_availability_not_label_not_endpoint
NGC6503,PHANGS,7,3,SUPPORTING_OPTIONAL_BRANCH_TO_BE_QUERIED,PHANGS is a supporting optional source path for non-axisymmetric evidence,False,False,False,p0_requested_source_availability_not_label_not_endpoint
