galaxy,source_status,n_hits,matched_hits,evidence_ids,claim_boundary
IC2574,DIRECT_ASYMMETRY_CONTEXT_READY_REVIEW_REQUIRED,1,1,outer_tail_transition,readout_subfamily_external_source_acquisition_not_endpoint
IC2574,DIRECT_HI_CONTEXT_READY_REVIEW_REQUIRED,2,2,hi_asymmetry_map;environment_history,readout_subfamily_external_source_acquisition_not_endpoint
IC4202,NO_TARGETED_EXTERNAL_SOURCE_HIT_THIS_PASS,1,1,compact_support_radius,readout_subfamily_external_source_acquisition_not_endpoint
NGC4013,DIRECT_HI_WARP_CONTEXT_READY_REVIEW_REQUIRED,1,1,disk_overlay_check,readout_subfamily_external_source_acquisition_not_endpoint
NGC4183,HI_WARP_SAMPLE_CONTEXT_REVIEW_REQUIRED,1,1,bar_core_projection_history_overlay,readout_subfamily_external_source_acquisition_not_endpoint
NGC5907,DIRECT_OPTICAL_WARP_CONTEXT_READY_REVIEW_REQUIRED,1,1,projection_geometry,readout_subfamily_external_source_acquisition_not_endpoint
NGC5907,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,1,1,vertical_or_warp_source,readout_subfamily_external_source_acquisition_not_endpoint
NGC5907,DIRECT_WARP_INTERACTION_CONTEXT_READY_REVIEW_REQUIRED,1,1,velocity_field_sanity,readout_subfamily_external_source_acquisition_not_endpoint
NGC7331,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,1,1,vertical_scale_or_thickness,readout_subfamily_external_source_acquisition_not_endpoint
UGC05716,HI_PROFILE_SOURCE_CANDIDATE_REVIEW_REQUIRED,1,1,hi_asymmetry_map,readout_subfamily_external_source_acquisition_not_endpoint
UGC12506,NO_TARGETED_EXTERNAL_SOURCE_HIT_THIS_PASS,1,0,disk_scale_overlay,readout_subfamily_external_source_acquisition_not_endpoint
