constant_type,constant_key,constant_value,tau_side_rationale,proof_status,weakest_step,claim_boundary
orientation_sign,K_compact_finite,1.0,compact finite support acts as an attractive finite-source residual in the current readout orientation,THEORY_CONDITIONAL,finite-source orientation is bridge-derived but not yet promoted by a covariant Tau-side variational principle,source_normalization_derivation_audit_not_endpoint
orientation_sign,K_scale_tail_spiral,1.0,outer tail support carries a positive closure-source orientation in the n=2 tail readout,THEORY_CONDITIONAL,tail-source orientation is bridge-derived under the current n=2 Poisson-like readout shell,source_normalization_derivation_audit_not_endpoint
orientation_sign,K_exponential_disk,-1.0,regular exponential disk component is treated as a smoothing/counter-readout against over-strong closure residual,THEORY_CONDITIONAL,counter-readout sign is bridge-derived as smoothing orientation but needs source-native slice promotion,source_normalization_derivation_audit_not_endpoint
orientation_sign,K_thick_flared,-1.0,thick/flared vertical geometry is treated as a smoothing/projection attenuation channel,THEORY_CONDITIONAL,vertical smoothing sign is bridge-derived as projection attenuation but needs source-native 3D/4D readout promotion,source_normalization_derivation_audit_not_endpoint
evidence_gate,SOURCE_CANDIDATE_COMPACT_READY,1.0,source-candidate component is fully admitted into the prefreeze candidate rule,DEFINITION_DEPENDENT,source candidate is not yet accepted endpoint evidence,source_normalization_derivation_audit_not_endpoint
evidence_gate,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,source-candidate component is fully admitted into the prefreeze candidate rule,DEFINITION_DEPENDENT,source candidate is not yet accepted endpoint evidence,source_normalization_derivation_audit_not_endpoint
evidence_gate,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,source-candidate component is fully admitted into the prefreeze candidate rule,DEFINITION_DEPENDENT,source candidate is not yet accepted endpoint evidence,source_normalization_derivation_audit_not_endpoint
evidence_gate,SOURCE_CANDIDATE_VELOCITY_FIELD_READY,1.0,velocity-field supported source candidate is fully admitted into the prefreeze candidate rule,DEFINITION_DEPENDENT,no full-sample velocity-field layer is assembled yet,source_normalization_derivation_audit_not_endpoint
evidence_gate,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,coarse executable representative of the conservative Tau-side proxy-admission product; exact median proxy E_tau is 0.354025,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,derived inside the current conservative three-status readout-admission geometry; not a final universal evidence geometry,source_normalization_derivation_audit_not_endpoint
evidence_gate,MISSING_SOURCE_SUPPORT,0.0,missing source support contributes no candidate component,DERIVED_FROM_GATE_DEFINITION,none for the candidate gate; absence of source is a zero candidate by definition,source_normalization_derivation_audit_not_endpoint
