carrier_id,audit_field,status,evidence,forbidden_change
tpg_v6,labels_frozen,PASS,same source_native_readout_formula_labels.csv consumed for all carriers,"formula_family, split, source proxies, confidence, role"
tpg_v6,kernels_frozen,PASS,same add_bridge_formula_kernels output; no carrier-dependent kernel code path,kernel shapes and morphology proxy scales
tpg_v6,split_frozen,PASS,split column is read from the same point artifact and is not redrawn,train/holdout membership
tpg_v6,only_carrier_changes,PASS,amplitude target changes from vobs^2-carrier^2; carrier_column=v_v6,"labels, kernels, source proxies, split, scoring equations"
tpg_v6,label_columns_snapshot,INFO,"amplitude_policy,bar_m2_proxy,compact_support_radius_proxy_kpc,distance_frac_error,distance_quality,forbidden_inputs,formula_family,galaxy,hub_type,inc_bin,inclination_deg,inclination_error_deg,lopsided_m1_proxy,manifest_caveat,manifest_confidence,max_bulge,mean_bulge,mean_gas,mean_log_sbdisk,n_points,parameter_source,peak_log_sb,r_max,r_median,r_min,ring_radius_proxy_kpc,ring_width_proxy_kpc,role,scale_radius_proxy_kpc,split,tail_cutoff_radius_proxy_kpc,tail_inner_radius_proxy_kpc,thickness_h_over_rs_proxy,type_bin",residual or endpoint score columns in label artifact
newtonian_baryonic,labels_frozen,PASS,same source_native_readout_formula_labels.csv consumed for all carriers,"formula_family, split, source proxies, confidence, role"
newtonian_baryonic,kernels_frozen,PASS,same add_bridge_formula_kernels output; no carrier-dependent kernel code path,kernel shapes and morphology proxy scales
newtonian_baryonic,split_frozen,PASS,split column is read from the same point artifact and is not redrawn,train/holdout membership
newtonian_baryonic,only_carrier_changes,PASS,amplitude target changes from vobs^2-carrier^2; carrier_column=vn,"labels, kernels, source proxies, split, scoring equations"
newtonian_baryonic,label_columns_snapshot,INFO,"amplitude_policy,bar_m2_proxy,compact_support_radius_proxy_kpc,distance_frac_error,distance_quality,forbidden_inputs,formula_family,galaxy,hub_type,inc_bin,inclination_deg,inclination_error_deg,lopsided_m1_proxy,manifest_caveat,manifest_confidence,max_bulge,mean_bulge,mean_gas,mean_log_sbdisk,n_points,parameter_source,peak_log_sb,r_max,r_median,r_min,ring_radius_proxy_kpc,ring_width_proxy_kpc,role,scale_radius_proxy_kpc,split,tail_cutoff_radius_proxy_kpc,tail_inner_radius_proxy_kpc,thickness_h_over_rs_proxy,type_bin",residual or endpoint score columns in label artifact
