galaxy,proposed_readout_subfamily,evidence_id,source_role,citation_key,source_authors_year,source_title,source_url,cache_status,text_cache_status,local_path,text_local_path,promotion_relevance,accepted_label_promoted,endpoint_scores_allowed,claim_boundary
IC2574,K_disturbed_outer_tail,environment_history,morphology-memory or disturbed-gas context,WalterBrinks1999IC2574Holes,Walter & Brinks 1999,Holes and Shells in the Interstellar Medium of the Nearby Dwarf Galaxy IC 2574,https://arxiv.org/abs/astro-ph/9904002,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.txt,supports morphology-memory/disturbed-gas review; not a tail-transition measurement by itself,False,False,citation_ledger_supports_data_review_not_label_acceptance
IC2574,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry / disturbed gas context,deBlok2020IC2574HI,de Blok et al. / MNRAS 2020 source family,5 deg x 5 deg deep HI survey of the M81 group - II. HI distribution and kinematics of IC 2574 and HIJASS J1021+68,https://academic.oup.com/mnras/article/493/2/2618/5734519,LOCAL_SOURCE_CACHED,TEXT_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,candidate source for disturbed-tail/HI-envelope subfamily; asymmetry and tail-transition radii still need extraction,False,False,citation_ledger_supports_data_review_not_label_acceptance
IC2574,K_disturbed_outer_tail,outer_tail_transition,outer-tail or asymmetry transition review,SanchezSalcedo2002IC2574Holes,Sánchez-Salcedo & Hidalgo-Gámez 2002,A New Look at the Holes of IC 2574,https://astronomia.unam.mx/journals/rmxaa/article/view/2002rmxaa..38...39s,ALREADY_CACHED,NOT_APPLICABLE,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,,candidate evidence for K_disturbed_outer_tail; needs accepted extraction/audit,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC4013,K_true_compact,disk_overlay_check,disk/warp overlay review,ZschaechnerRand2015NGC4013HI,Zschaechner & Rand 2015,The HI Kinematics of NGC 4013: a Steep and Radially Shallowing Extra-planar Rotational Lag,https://arxiv.org/abs/1506.05123,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,warns compact-only classification may need disk/warp overlay review,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC4183,K_expdisk_overlay,bar_core_projection_history_overlay,bar/core/projection/history overlay review,vanEymeren2011WHISPLopsidedness,García-Ruiz et al. 2002 / WHISP source family,Warps and lopsidedness in HI disks from WHISP edge-on samples,https://arxiv.org/abs/1103.4928,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4183_whisp_lopsidedness_context_2011.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc4183_whisp_lopsidedness_context_2011.txt,candidate projection/overlay source path for NGC4183; primary paper/table extraction still required,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC5907,K_projection_dominated,projection_geometry,projection and optical-warp geometry review,Sasaki1987NGC5907Warp,Sasaki 1987,Surface Photometry of the Warping Edge-on Galaxy NGC 5907,https://academic.oup.com/pasj/article/39/6/849/8078264,LOCAL_SOURCE_CACHED,TEXT_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,supports projection/warp review; no endpoint label promotion,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC5907,K_projection_dominated,velocity_field_sanity,velocity-field/projection sanity review,Shang1998NGC5907Warp,Shang et al. 1998,Ring structure and warp of NGC 5907 -- Interaction with dwarf galaxies,https://arxiv.org/abs/astro-ph/9806395,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_shang_1998_ring_warp_interaction.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_shang_1998_ring_warp_interaction.txt,supports projection/warp/history audit for K_projection_dominated or warp overlay,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC5907,K_projection_dominated,vertical_or_warp_source,"vertical, flare, or warp source review",Wiegert2015EdgeOnISM,Wiegert et al. 2015,"The Interstellar Medium and Star Formation in Edge-On Galaxies. II. NGC 4157, 4565, and 5907",https://arxiv.org/abs/1408.5905,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_wiegert_2015_edge_on_ism.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc5907_wiegert_2015_edge_on_ism.txt,candidate source for projection/vertical sanity; needs subfamily-specific extraction,False,False,citation_ledger_supports_data_review_not_label_acceptance
NGC7331,K_thick_regular,vertical_scale_or_thickness,vertical scale or thickness review,Patra2018NGC7331ScaleHeight,Patra 2018,Molecular scale height in NGC 7331,https://arxiv.org/abs/1706.08615,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,candidate source for K_thick_regular vertical-scale acceptance; needs mapping into h/Rs,False,False,citation_ledger_supports_data_review_not_label_acceptance
UGC05716,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry / disturbed gas context,Swaters2009LateTypeDwarfs,Swaters et al. 2009,The rotation curves shapes of late-type dwarf galaxies,https://astroweb.case.edu/ssm/papers/AAv505p577.pdf,ALREADY_CACHED,TEXT_ALREADY_EXTRACTED,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.pdf,/Users/jolcsak/Projects/tau-core-morphology-forward-readout-paper8/data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,candidate source for disturbed-tail review; specific HI asymmetry/transition extraction still missing,False,False,citation_ledger_supports_data_review_not_label_acceptance
