galaxy,split,score_layer,score_role,rmse_prediction,rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,minus_wrong_mean,minus_tpg_v6,minus_mond,beats_wrong_mean,beats_tpg_v6,beats_mond,claim_boundary,formula_family,inclusion_lane,allowed_use,strict_ready,caution_ready,acquisition_required,minimal_acquisition_need
CamB,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,19.721962031071975,91.24387932409024,13.63779853730796,15.623524086441458,-71.52191729301825,6.084163493764015,4.098437944630517,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
ESO116-G012,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,13.44627975529398,23.697261954636655,11.508201668011028,9.10866648888162,-10.250982199342676,1.9380780872829515,4.337613266412358,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
F561-1,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,30.72961132456212,44.585671243755485,28.55685188052471,32.526019723976546,-13.856059919193363,2.1727594440374105,-1.7964083994144249,True,False,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source
F563-1,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,22.617853241287115,25.519663333650048,24.695833689633552,18.44568739642176,-2.9018100923629326,-2.0779804483464375,4.172165844865354,True,True,False,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
F568-1,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,34.955430288199395,29.55354010937246,33.500610533676024,29.974188853658532,5.401890178826935,1.4548197545233703,4.981241434540863,False,False,False,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source
IC2574,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,10.566965630734453,26.75293889801284,7.5138151552258,13.51316984455882,-16.185973267278385,3.0531504755086525,-2.946204213824368,True,False,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
IC4202,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,25.94895537395008,26.376477777204897,26.10151495917691,26.12803028857914,-0.4275224032548159,-0.1525595852268324,-0.1790749146290586,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source
NGC0024,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,22.660175260822907,49.1700589416922,22.157814084096987,20.65262257294937,-26.50988368086929,0.5023611767259197,2.007552687873538,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source
NGC2683,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,9.441655141326386,12.426749788320713,10.314830339812676,14.151015414510422,-2.9850946469943267,-0.8731751984862886,-4.709360273184036,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
NGC3726,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,22.32780920265615,26.68986153139954,23.631876746434497,26.325344741169783,-4.362052328743388,-1.3040675437783449,-3.997535538513631,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source
NGC3949,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,8.55319084358932,22.645530043633567,8.950158230683527,11.297904622428334,-14.092339200044249,-0.3969673870942074,-2.7447137788390137,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source
NGC3972,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,8.593962113335323,19.977775866378973,7.806428086864266,6.774747860896815,-11.38381375304365,0.7875340264710564,1.819214252438508,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
NGC4013,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,16.99356852880305,11.668540793425578,12.273912532057183,14.334222058319126,5.325027735377471,4.719655996745866,2.659346470483923,False,False,False,inclusion_lane_endpoint_analysis_not_validation,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
NGC4088,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,37.811387707787695,42.53175206180385,38.98773649865968,42.18384581680386,-4.720364354016155,-1.176348790871984,-4.372458109016165,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source
NGC4183,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,6.224581287933666,13.760210864515452,6.489693491114096,10.354993594406714,-7.535629576581786,-0.26511220318043,-4.1304123064730485,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
NGC4214,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,15.405984093871057,39.05954643661913,17.991047303306434,15.27888150484993,-23.65356234274807,-2.585063209435378,0.1271025890211277,True,True,False,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_or_inclination_audit;needs_source_memory_flag_resolution
NGC4389,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,45.987913835499185,67.05818976545275,46.55692853885728,48.50110279830857,-21.070275929953567,-0.5690147033580928,-2.5131889628093873,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source
NGC5907,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,16.383392586061934,17.603432862968834,16.785509985459306,18.59536481497724,-1.2200402769069,-0.4021173993973725,-2.211972228915307,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_projection_geometry_source_review;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source
NGC5985,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,66.20241092491683,73.62210136086749,72.28739039126062,69.40357999391347,-7.419690435950656,-6.084979466343782,-3.2011690689966343,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution
NGC6789,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,11.536643562882814,119.24492701458892,15.897752239176857,15.396246199577478,-107.70828345170612,-4.361108676294043,-3.859602636694664,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source
NGC6946,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,27.87252780787919,14.19367158482804,15.02544742520658,17.728143095419597,13.678856223051156,12.847080382672615,10.144384712459598,False,False,False,inclusion_lane_endpoint_analysis_not_validation,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_distance_quality_or_scale_audit;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source
NGC7331,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,24.522570438330455,26.364633972516103,25.485065060071012,29.311675230419706,-1.8420635341856515,-0.9624946217405572,-4.789104792089248,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
UGC00731,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,11.310048467799865,28.290358560322016,12.8454530669031,11.466827035781066,-16.980310092522153,-1.535404599103236,-0.1567785679812026,True,True,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source
UGC00891,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,7.225333270873022,30.708551410992673,5.958365558298525,7.682081654505746,-23.48321814011965,1.2669677125744965,-0.4567483836327239,True,False,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
UGC02023,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,15.30026431538294,52.34894448268364,12.19804888404624,13.979836766957424,-37.0486801673007,3.1022154313367025,1.3204275484255188,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_distance_quality_or_scale_audit;needs_manifest_confidence_review;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source
UGC02259,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,19.573338345039396,28.49022220799913,16.43514083306515,13.66144175213647,-8.916883862959732,3.138197511974244,5.9118965929029255,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
UGC03580,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,53.98299406241329,25.502006859525864,25.49452615076704,27.172706555031343,28.480987202887427,28.48846791164625,26.810287507381947,False,False,False,inclusion_lane_endpoint_analysis_not_validation,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,True,False,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source
UGC04305,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,26.808062784312273,54.97638920038208,23.999621706482884,26.588364190715332,-28.168326416069807,2.8084410778293893,0.2196985935969415,True,False,False,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
UGC04499,holdout,source_native_hard_family,matched_vs_wrong_and_baselines,8.071013668884772,26.68581754275577,6.040634191372928,8.985021588452573,-18.614803873870997,2.030379477511844,-0.9140079195678013,True,False,True,inclusion_lane_endpoint_analysis_not_validation,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,False,True,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source
