probe_id,probe_family,operator_role,observable,independent_direction_target,source_dataset,source_url,local_evidence,source_verified,local_products,same_object_cospatial,endpoint_blind,common_parent_transport,nonredundancy_status,radial_overlap,uncertainty_status,a_row_status,readiness,priority,next_action
OC-P01,hi_side_parity,physical_channel_candidate,THINGS H I approaching/receding odd-even velocity-field decomposition,orientation-odd versus common even spectral response,THINGS NGC7331 natural and robust moment maps,https://arxiv.org/abs/0810.2125,source-frozen NGC7331 FITS products and parity diagnostic,True,True,True,True,single_object_only,partial_parity_split_not_full_independent_probe,outer_disk_available,partial_two_weighting_replication,not_constructed,DIAGNOSTIC_READY_SINGLE_GALAXY_NOT_A_MATRIX_ROW,1,derive a source-blind path/parity A_p map before population use
OC-P02,hi_halpha_cospatial_kinematics,physical_tracer_probe_candidate,co-spatial H I and Halpha velocity fields with matched radial bins,neutral-gas versus ionized-gas access while holding source geometry fixed,THINGS/SPARC H I plus GHASP Halpha cubes and velocity fields,https://arxiv.org/abs/0808.0132,alias-aware GHASP VI+VII/SPARC overlap=26; source-only top candidate=NGC3726; NGC3726 zero-null p=0.1489; prospective NGC4559 HR/LR p=0.1639/0.1362,True,True,False,True,open,candidate_strong_if_cospatial,to_be_measured,open_beam_smearing_extinction_non_circular_motion,not_constructed,TWO_SOURCE_RANKED_TRACER_TESTS_ZERO_NULL_NOT_REJECTED,1,preserve two negative tests; acquire the next source-ranked independent H I side route without retuning the statistic
OC-P03,co_halpha_cospatial_kinematics,physical_tracer_probe_candidate,PHANGS CO(2-1) and MUSE ionized-gas velocity fields,molecular-gas versus ionized-gas channel access,PHANGS-ALMA and PHANGS-MUSE public releases,https://www.phangs.org/data,PHANGS-ALMA/SPARC overlap=NGC2903;NGC3521; overlap with MUSE flag=none,True,True,False,True,open_no_current_sparc_muse_overlap,candidate_strong_but_shared_gas_systematics,primarily_inner_star_forming_disk,open_streaming_beam_smearing_pressure_support,not_constructed,SOURCE_EXISTS_DIRECT_SPARC_PILOT_BLOCKED,2,seek external Halpha fields for NGC2903 and NGC3521 or use a non-SPARC common-parent pilot
OC-P04,gas_stellar_kinematics,physical_tracer_probe_candidate,ionized-gas velocity plus stellar velocity and dispersion,collisional gas versus collisionless stellar response,DiskMass Survey,https://arxiv.org/abs/1307.8130,no local DiskMass-SPARC crossmatch or source-frozen cubes,True,False,True,True,open,candidate_strong_with_dynamical_model_dependence,reported_to_about_three_disk_scale_lengths,open_asymmetric_drift_vertical_structure_inclination,not_constructed,PRIORITY_2_CROSSMATCH_AND_MODEL_AUDIT,2,build DiskMass identity crossmatch and freeze the asymmetric-drift control model
OC-P05,hi_imaging_weight_replication,pipeline_control_not_physical_probe,THINGS natural versus robust image weighting,instrumental/reduction robustness only,THINGS NGC7331,https://arxiv.org/abs/0810.2125,both products frozen and scored in parity diagnostic,True,True,True,True,not_applicable_same_physical_channel,failed_as_independent_physical_probe,matched,useful_pipeline_replication,not_a_physical_row,CONTROL_READY_DO_NOT_COUNT_TOWARD_INJECTIVITY,0,retain as robustness control only
OC-P06,spectral_centroid_width_multiline,physical_channel_probe_candidate,"matched H I, CO, and optical-line centroid, width, and profile asymmetry",frequency transfer versus local turbulence/radiative-transfer response,THINGS plus PHANGS-ALMA/MUSE or GHASP,https://almascience.eso.org/alma-data/lp/PHANGS/,NGC7331 H I moments local; no frozen multiline same-pixel packet,True,False,False,True,open,candidate_high_value_for_clock_vs_gas_systematics,to_be_measured,open_line_formation_optical_depth_turbulence,not_constructed,PRIORITY_1_MULTILINE_PACKET_REQUIRED,1,freeze same-pixel line centroids and widths before any rotation residual comparison
OC-P07,morphology_onset_body_coordinate,body_coordinate_control_not_channel_probe,"S4G disk break, radial m=1 onset, H I warp onset",body-side mode coordinate and onset localization,S4G and H I morphology products,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/overview.html,disk-break small-n and lopsidedness coverage audits exist,True,True,True,True,body_side_only,not_independent_channel_direction,partial_small_n,partial,not_a_channel_row,BODY_CALIBRATION_CONTROL_DO_NOT_COUNT_TOWARD_A_INJECTIVITY,0,"use to define body coordinates, not to claim channel independence"
OC-P08,dynamics_weak_lensing,cross_readout_probe_candidate,rotation/dynamics versus galaxy-galaxy weak-lensing shear,kinematic versus null-geodesic mass/readout response,SPARC plus an independently selected weak-lensing lens sample,https://ui.adsabs.harvard.edu/abs/2016AJ....152..157L/abstract,no object-level common-parent SPARC lensing packet,False,False,False,True,blocked_stack_statistics_not_same_object_operator,potentially_strong_if_transport_proved,different_scales,open_shear_calibration_halo_environment_stacking,not_constructed,THEORY_HIGH_VALUE_EMPIRICALLY_BLOCKED,3,identify an object-matched or rigorously transported dynamics-lensing sample
OC-P09,multipath_time_delay,architecture_analogue_not_current_galaxy_probe,multiple lensed images and measured inter-image time delays,distinct null paths to one variable source,H0LiCOW/COSMOGRAIL,https://arxiv.org/abs/1607.00017,no shared SPARC disk-rotation parent system,True,False,False,True,blocked_different_source_deflector_architecture,multiple_paths_real_but_not_current_K_body,not_applicable,lens_model_line_of_sight_mass_sheet,not_current_matrix_row,ARCHITECTURE_CONTROL_NOT_PAPER8_PROBE,3,"use to constrain path-law form, not to stack with SPARC"
OC-P10,strong_lensing_stellar_kinematics,cross_readout_probe_candidate,strong-lens image/time-delay model plus deflector stellar dispersion,lensing-path versus stellar dynamical parent response,H0LiCOW/TDCOSMO,https://arxiv.org/abs/1607.01403,common deflector exists in source studies but no disk-rotation/SPARC transport,True,False,True,True,open_cross_domain,partial_model_coupled,lens_aperture_specific,mass_sheet_anisotropy_environment,not_constructed,CROSS_DOMAIN_METHOD_CANDIDATE_NOT_PAPER8_ROW,3,derive common-parent transport before any Tau stacking claim
