git_status,path,recommended_group,recommended_action,reason
M,README.md,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,arxiv_submission_source.zip,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,data/derived/p0_phangs_source_matches.csv,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,docs/tau_core_gravity_bridge_central.md,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,figures/fig01_morphology_family_registry.svg,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,figures/fig02_forward_gate_score_schema.svg,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,figures/fig03_forward_readout_gate_flow.svg,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/figures/fig01_morphology_family_registry.pdf,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/figures/fig02_forward_gate_score_schema.pdf,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/figures/fig03_forward_readout_gate_flow.pdf,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/main.pdf,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/main.tex,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,paper8_submission_source/refs.bib,stage_paper_docs_package,stage,"paper, bridge documentation, figures, generated PDF/arXiv package"
M,reports/p0_dustpedia_hi_phangs_source_evidence.md,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0100_2MASS_K.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
M,reports/p0_skyview_previews/NGC0100_DSS2_Red.png,stage_derived_repro_artifacts,stage,tracked-style reproducibility outputs and reports
