field,value_type,initial_value,residual_blind_required,may_use_endpoint_scores,description,claim_boundary
reviewer_id,text,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Reviewer identifier. Must be filled before any endpoint score is inspected.,p0_visual_review_template_not_accepted_label_not_endpoint
review_timestamp_utc,datetime,TO_BE_FILLED_RESIDUAL_BLIND,True,False,UTC timestamp of the residual-blind visual review.,p0_visual_review_template_not_accepted_label_not_endpoint
present_day_morphology_label,controlled_text,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Residual-blind present-day morphology label from images/catalogues only.,p0_visual_review_template_not_accepted_label_not_endpoint
outer_disk_lsb_tail_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,"Evidence for outer disk, low-surface-brightness extension, scale tail, or diffuse outskirts.",p0_visual_review_template_not_accepted_label_not_endpoint
hi_extent_or_asymmetry_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Evidence from HI extent/asymmetry sources when available.,p0_visual_review_template_not_accepted_label_not_endpoint
bar_m2_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Evidence for bar or m=2 structure. Velocity-field support should be noted separately.,p0_visual_review_template_not_accepted_label_not_endpoint
edge_projection_caveat,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,"Inclination, edge-on, or projection caveat affecting visual morphology.",p0_visual_review_template_not_accepted_label_not_endpoint
vertical_flare_warp_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,"Evidence for thick, flared, warped, or vertically extended disk structure.",p0_visual_review_template_not_accepted_label_not_endpoint
compact_bulge_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,"Evidence for compact source, central concentration, or bulge-dominated support.",p0_visual_review_template_not_accepted_label_not_endpoint
ring_resonance_evidence,yes_no_uncertain,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Evidence for ring or resonance morphology.,p0_visual_review_template_not_accepted_label_not_endpoint
morphological_memory_history_proxy_judgment,controlled_text,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Residual-blind judgment about whether current morphology may be an incomplete proxy for readout-relevant history.,p0_visual_review_template_not_accepted_label_not_endpoint
review_confidence,low_medium_high,TO_BE_FILLED_RESIDUAL_BLIND,True,False,"Reviewer confidence based on source quality, not endpoint performance.",p0_visual_review_template_not_accepted_label_not_endpoint
residual_blind_family_recommendation,controlled_text,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Candidate morphology-readout family recommendation for future endpoint use; must not use residuals.,p0_visual_review_template_not_accepted_label_not_endpoint
review_sources_used,semicolon_list,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Source panels/catalogues used by the reviewer.,p0_visual_review_template_not_accepted_label_not_endpoint
review_notes,free_text,TO_BE_FILLED_RESIDUAL_BLIND,True,False,Short residual-blind notes and caveats.,p0_visual_review_template_not_accepted_label_not_endpoint
